,Area Code,Area Name," Total recorded crime
 (excluding fraud) [note 2]",Violence against the person,Homicide,Violence with injury,Violence without injury,Stalking and harassment,Death or serious injury - unlawful driving,Sexual offences,Robbery,Theft offences,Burglary,Residential burglary,Non-residential burglary,Vehicle offences,Theft from the person,Bicycle theft,Shoplifting,Other theft offences,Criminal damage and arson,Drug offences,Possession of weapons offences,Public order offences,Miscellaneous crimes against society
0,K04000001,"ENGLAND AND WALES [note 3]
",5584888,2113383,602,573791,828673,709388,929,195315,75265,1724361,275919,191490,84429,405872,112406,77148,342343,510673,530875,177994,57413,591763,118519
40,E23000032,Kent,175332,76927,15,18127,34895,23826,64,6611,1260,45734,6676,4755,1921,9656,1049,1115,12729,14509,20250,4857,1446,12333,5914
41,E23000031,Surrey,73104,27265,3,7128,11857,8268,9,2540,469,22380,3731,2773,958,6222,541,1048,3981,6857,7329,2311,600,8574,1636
42,E23000033,Sussex,129459,47393,9,14276,18662,14422,24,5351,995,38928,5037,2825,2212,7507,1077,2273,11822,11212,13728,3340,2095,14958,2671
43,E23000029,Thames Valley,183540,68030,14,17819,27235,22948,14,6473,1182,59360,7728,5008,2720,15557,3223,4502,11524,16826,16829,5514,1482,21310,3360
44,E12000009,South West,399416,161992,48,46608,65160,50118,58,17385,3407,108738,17815,11047,6768,22445,2634,5844,27377,32623,43105,10121,3487,43245,7936
45,E23000036,Avon and Somerset,141043,52149,21,12612,22471,17041,4,5273,1632,42647,6474,4184,2290,9626,909,2826,11015,11797,13936,2685,950,19312,2459
46,E23000035,Devon and Cornwall,104753,46094,14,15764,18142,12129,45,5662,647,23205,3604,1826,1778,3963,671,676,6120,8171,13019,4137,1446,8120,2423
47,E23000039,Dorset,51750,20036,3,5877,7789,6364,3,2345,393,16950,2832,1785,1047,4374,467,817,3608,4852,6125,1054,317,3893,637
48,E23000037,Gloucestershire,57741,25418,6,6040,9021,10346,5,2207,379,13801,2920,1999,921,2117,304,838,3146,4476,5074,1134,345,7891,1492
49,E23000038,Wiltshire,44129,18295,4,6315,7737,4238,1,1898,356,12135,1985,1253,732,2365,283,687,3488,3327,4951,1111,429,4029,925
50,W92000004,WALES,275694,116317,29,29187,40771,46298,32,10072,1046,62499,9784,6530,3254,10901,1461,2565,18231,19557,31152,8276,1872,38641,5819
51,W15000004,Dyfed-Powys,44843,21905,5,3970,7717,10208,5,1736,86,6807,1283,919,364,622,114,171,1814,2803,4562,2273,322,6238,914
52,W15000002,Gwent,59866,24419,11,6166,8479,9755,8,1861,336,12091,2442,1677,765,2357,219,262,3013,3798,7915,1294,363,10148,1439
53,W15000001,North Wales,63635,29903,6,6947,11432,11516,2,2670,155,12517,2014,1353,661,1226,193,307,4201,4576,7059,1550,415,7980,1386
54,W15000003,South Wales,107350,40090,7,12104,13143,14819,17,3805,469,31084,4045,2581,1464,6696,935,1825,9203,8380,11616,3159,772,14275,2080
55,,British Transport Police,65136,11687,4,3230,8139,314,0,1959,1460,27628,2,2,0,1911,8517,5593,1923,9682,7567,2793,688,10912,442
