,Area Code,Area Name," Total recorded crime
 (excluding fraud) [note 2]",Violence against the person,Homicide,Violence with injury,Violence without injury,Stalking and harassment,Death or serious injury - unlawful driving,Sexual offences,Robbery,Theft offences,Burglary,Residential burglary,Non-Residential burglary,Vehicle offences,Theft from the person,Bicycle theft,Shoplifting,Other theft offences,Criminal damage and arson,Drug offences,Possession of weapons offences,Public order offences,Miscellaneous crimes
40,E23000032,Kent,180838,83393,15,18301,36038,28979,60,6886,1192,41327,6565,4838,1727,9105,992,1085,10859,12721,21810,4152,1370,14916,5792
41,E23000031,Surrey,71131,26775,3,7176,11621,7964,11,2512,380,20279,3584,2780,804,5571,561,1057,3275,6231,7714,2393,559,9127,1392
42,E23000033,Sussex,120155,46097,8,13818,18353,13892,26,5303,901,32217,4064,2398,1666,6365,956,2035,8337,10460,13272,3777,1541,14185,2862
43,E23000029,Thames Valley,176131,65828,24,17477,26479,21838,10,6669,921,50912,6983,4805,2178,12595,2766,4184,9624,14760,16187,6284,1083,25260,2987
44,E12000009,South West,379592,158603,62,47654,62550,48296,41,16900,3174,92518,17029,11315,5714,19365,2206,5502,19979,28437,45299,10612,3077,42153,7256
45,E23000036,Avon and Somerset,139404,54149,16,13391,22971,17770,1,5509,1599,36342,6647,4860,1787,8506,907,2610,7530,10142,14871,2939,828,20611,2556
46,E23000035,Devon and Cornwall,101323,46146,17,15988,17336,12781,24,5377,585,19227,3298,1585,1713,3302,510,481,4652,6984,13794,4211,1273,8470,2240
47,E23000039,Dorset,50890,20100,7,6229,7763,6099,2,2343,386,15321,2808,1876,932,3747,313,1147,2697,4609,6441,1134,287,4249,629
48,E23000037,Gloucestershire,47428,21036,19,6085,7239,7680,13,1926,299,11600,2636,1891,745,1839,279,584,2533,3729,5057,1193,323,4955,1039
49,E23000038,Wiltshire,40547,17172,3,5961,7241,3966,1,1745,305,10028,1640,1103,537,1971,197,680,2567,2973,5136,1135,366,3868,792
50,W92000004,WALES,269038,116098,34,29182,38850,47996,36,9957,1006,55082,10178,7009,3169,9981,1267,2331,13920,17405,31339,8457,1519,39704,5876
51,W15000004,Dyfed-Powys,42316,21216,7,4022,6908,10273,6,1667,59,6165,1258,892,366,630,145,142,1453,2537,4596,1606,214,5929,864
52,W15000002,Gwent [note 7],54490,21543,5,5844,7419,8268,7,1751,267,10896,2509,1809,700,2318,176,318,2192,3383,8102,1333,305,8849,1444
53,W15000001,North Wales,67683,32527,8,7178,11994,13340,7,2681,203,11200,2097,1463,634,1252,196,297,3338,4020,7471,1625,347,10148,1481
54,W15000003,South Wales,104549,40812,14,12138,12529,16115,16,3858,477,26821,4314,2845,1469,5781,750,1574,6937,7465,11170,3893,653,14778,2087
55,,British Transport Police,49508,10397,0,2859,7318,220,0,1632,1085,16314,1,1,0,1011,4446,4070,1067,5719,6907,2929,659,9160,425
