,Area Code,Area Name,"Total recorded crime
 (excluding fraud) 
[note 2]",Violence against the person,Homicide,Violence with injury,Violence without injury,Stalking and harassment,Death or serious injury - unlawful driving,Sexual offences,Robbery,Theft offences,Burglary,Residential burglary,Non-residential burglary,Vehicle offences,Theft from the person,Bicycle theft,Shoplifting,Other theft offences,Criminal damage and arson,Drug offences,Possession of weapons offences,Public order offences,Miscellaneous crimes
39,E23000030,Hampshire,160982,65640,16,19471,24913,21191,49,6668,1233,46002,7358,4771,2587,9803,1070,1687,14326,11758,14113,5970,2265,16532,2559
40,E23000032,Kent,166301,71219,19,17267,32968,20869,96,6261,1082,46206,6187,4460,1727,9492,1004,1140,15135,13248,19060,5158,1643,10232,5440
41,E23000031,Surrey,75222,28283,6,7396,12500,8354,27,2629,470,23684,3736,2778,958,6394,441,859,5645,6609,7062,2499,710,8156,1729
42,E23000033,Sussex,136202,48959,8,15211,20824,12876,40,5526,1181,44163,5394,3237,2157,7132,1195,1726,17925,10791,13668,4147,2540,13179,2839
43,E23000029,Thames Valley,174921,65569,13,16898,27773,20869,16,6181,1397,59877,7452,5040,2412,14367,2773,3441,15831,16013,14936,6040,1745,15640,3536
44,E12000009,South West,402389,163722,52,46375,67043,50135,117,18013,3927,116200,17331,11019,6312,22596,2885,4729,36409,32250,41153,9673,3954,37242,8505
45,E23000036,Avon and Somerset,150580,58087,22,14289,24544,19228,4,6266,2206,46648,6387,4178,2209,9776,929,2081,15684,11791,14183,2617,1107,16949,2517
46,E23000035,Devon and Cornwall,107864,47831,10,15538,19374,12835,74,5613,644,25405,3628,2156,1472,3866,915,587,7824,8585,12650,3875,1626,7305,2915
47,E23000039,Dorset,50815,19692,5,5667,7842,6172,6,2175,417,17221,2831,1803,1028,3856,415,781,4641,4697,5415,1067,387,3830,611
48,E23000037,Gloucestershire,52406,21683,10,5250,8326,8074,23,2079,398,15197,2765,1902,863,2804,319,716,4278,4315,4269,1069,409,5664,1638
49,E23000038,Wiltshire,40724,16429,5,5631,6957,3826,10,1880,262,11729,1720,980,740,2294,307,564,3982,2862,4636,1045,425,3494,824
50,W92000004,WALES,263045,110814,24,28560,38819,43360,51,9464,970,67167,8858,5549,3309,11366,1383,2622,24305,18633,28564,7021,2065,31109,5871
51,W15000004,Dyfed-Powys,36563,17558,3,3647,6477,7431,0,1461,75,6647,1265,834,431,612,197,116,2047,2410,4011,1575,298,4189,749
52,W15000002,Gwent,57093,23579,3,6253,8298,9013,12,1701,298,13383,2189,1401,788,3071,191,285,3943,3704,7188,1410,442,7524,1568
53,W15000001,North Wales,55280,26178,5,6197,10104,9867,5,2289,132,12610,1768,1167,601,1185,138,309,4943,4267,6149,1243,391,4936,1352
54,W15000003,South Wales,114109,43499,13,12463,13940,17049,34,4013,465,34527,3636,2147,1489,6498,857,1912,13372,8252,11216,2793,934,14460,2202
55,,British Transport Police,79607,14014,3,3830,9897,284,0,2047,2017,34479,449,2,447,1787,12335,4657,3568,11683,8638,3487,816,13609,500
